,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
399,4-1983,50.88,50.7,137.35,2.9,83.5,41.25,41.0,137.8,-9.0,77.0,61.11,61.0,172.98,6.3,99.0,0.09,0.0,0.1,0.0,10.93
400,5-1983,61.05,61.0,120.56,17.4,105.0,50.28,50.0,131.85,2.1,99.0,71.95,72.0,142.8,23.2,119.8,0.08,0.0,0.08,0.0,9.02
401,6-1983,70.07,71.0,83.67,22.2,100.6,59.15,59.9,99.12,19.2,95.0,80.84,82.0,97.28,25.2,111.9,0.07,0.0,0.08,0.0,11.1
402,7-1983,76.4,77.6,76.12,25.2,108.4,65.02,66.0,92.07,20.1,97.0,87.52,89.1,88.28,28.2,117.9,0.05,0.0,0.06,0.0,10.04
403,8-1983,76.72,77.6,64.98,24.8,107.4,65.84,66.9,74.68,10.2,100.0,88.01,89.1,84.95,30.2,116.1,0.06,0.0,0.07,0.0,10.93
404,9-1983,68.39,69.3,127.63,9.0,102.9,57.4,57.9,151.19,0.1,89.1,80.24,81.9,141.25,10.2,115.0,0.06,0.0,0.07,0.0,10.83
405,10-1983,58.11,57.7,123.0,7.6,87.1,48.52,48.0,147.49,5.2,84.0,68.95,69.1,138.01,10.2,104.0,0.06,0.0,0.07,0.0,7.85
406,11-1983,47.35,47.5,173.91,-12.0,89.6,39.21,37.9,173.35,-30.1,87.8,56.89,57.9,212.57,4.1,100.4,0.09,0.0,0.08,0.0,5.04
407,12-1983,31.39,32.6,402.1,-39.5,90.0,23.9,26.1,418.02,-50.1,86.0,40.01,39.9,423.41,-26.9,107.6,0.08,0.0,0.08,0.0,8.86
408,1-1984,32.73,33.6,283.43,-28.2,90.0,24.31,26.2,299.53,-43.8,82.4,42.18,41.0,311.06,-15.9,109.4,0.03,0.0,0.02,0.0,5.12
