,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
0,1-1950,42.04,43.4,363.84,-22.9,76.8,33.48,34.0,396.48,-36.0,72.3,53.16,55.4,380.07,-17.0,93.4,0.03,0.0,0.02,0.0,2.68
1,2-1950,43.75,45.4,247.43,-17.0,77.4,34.59,35.4,262.38,-29.9,72.0,55.43,58.3,287.56,-9.0,92.3,0.02,0.0,0.01,0.0,1.65
2,3-1950,46.83,47.8,218.98,-8.7,84.9,37.0,37.9,215.41,-27.0,73.0,59.07,61.0,268.7,1.4,104.4,0.03,0.0,0.02,0.0,2.09
3,4-1950,55.48,56.3,160.49,13.2,86.0,45.2,45.0,158.0,1.9,77.0,67.87,70.0,204.33,20.3,103.3,0.02,0.0,0.01,0.0,2.44
4,5-1950,65.76,66.8,116.03,26.3,88.8,55.64,55.9,131.58,18.0,79.0,77.69,80.1,128.4,30.4,105.4,0.02,0.0,0.02,0.0,4.53
5,6-1950,73.34,74.5,85.9,34.1,103.2,62.88,64.0,101.13,24.1,91.2,85.16,86.4,92.32,39.9,115.3,0.02,0.0,0.02,0.0,3.03
6,7-1950,75.1,75.7,48.06,48.6,102.1,65.73,66.9,63.75,37.9,91.2,86.37,86.4,56.45,57.0,114.3,0.05,0.0,0.05,0.0,3.82
7,8-1950,74.62,75.3,58.51,47.3,98.3,64.13,64.9,72.97,33.1,87.3,86.75,87.3,69.25,55.0,116.2,0.03,0.0,0.03,0.0,4.09
8,9-1950,68.54,69.1,89.28,32.0,102.0,59.4,60.1,107.17,23.4,91.2,79.79,80.4,104.86,35.1,117.3,0.03,0.0,0.07,0.0,9.76
9,10-1950,63.08,64.4,97.29,27.4,87.9,52.61,53.1,104.25,15.4,81.3,75.67,78.1,133.88,34.3,106.3,0.02,0.0,0.02,0.0,5.75
10,11-1950,48.01,48.3,196.06,-5.0,86.6,38.04,37.4,193.95,-11.0,80.1,60.6,62.1,250.89,5.0,100.0,0.02,0.0,0.02,0.0,2.91
11,12-1950,39.89,40.95,205.74,-12.8,79.5,30.92,31.65,206.88,-27.0,70.0,51.11,52.3,270.39,-2.9,93.0,0.02,0.0,0.02,0.0,2.6
12,1-1951,39.04,40.5,249.47,-27.2,76.0,30.02,30.9,245.44,-36.6,71.1,50.17,52.3,312.12,-17.0,89.1,0.02,0.0,0.01,0.0,1.14
13,2-1951,41.58,42.5,273.8,-19.6,76.9,32.4,33.4,283.87,-30.6,69.1,53.59,55.4,311.87,-6.0,92.3,0.03,0.0,0.02,0.0,2.99
14,3-1951,47.13,47.3,214.88,-21.9,79.0,37.9,37.0,217.22,-31.0,71.1,58.82,60.3,266.56,-11.9,93.4,0.03,0.0,0.01,0.0,1.89
15,4-1951,55.97,55.8,130.68,12.2,84.7,45.96,45.0,131.7,6.1,75.0,68.12,69.3,169.46,24.1,104.4,0.03,0.0,0.02,0.0,2.99
16,5-1951,65.96,66.7,96.06,35.8,97.0,55.08,55.0,100.18,26.1,82.9,78.4,79.3,114.02,41.0,113.4,0.02,0.0,0.02,0.0,3.7
17,6-1951,72.49,73.2,93.47,31.9,94.8,62.35,63.0,101.1,26.1,84.4,83.94,85.3,109.79,37.9,110.3,0.03,0.0,0.03,0.0,2.32
18,7-1951,77.75,78.7,64.21,49.1,101.0,67.52,69.3,71.13,39.9,89.1,89.42,90.3,76.5,52.0,113.4,0.03,0.0,0.03,0.0,2.76
19,8-1951,76.72,77.7,84.72,49.6,99.2,66.47,67.3,87.8,37.0,87.3,88.55,90.0,101.44,51.1,112.3,0.02,0.0,0.02,0.0,2.87
20,9-1951,69.94,70.5,104.96,32.6,94.2,59.79,60.1,122.56,23.4,84.4,82.17,82.9,121.63,43.0,108.0,0.03,0.0,0.03,0.0,3.82
21,10-1951,61.02,61.8,137.81,16.4,88.1,51.4,51.3,143.3,7.0,80.2,72.77,74.3,164.68,23.0,105.1,0.02,0.0,0.02,0.0,2.64
22,11-1951,45.54,45.1,181.86,-0.5,79.4,36.87,36.0,186.72,-11.0,75.0,56.54,57.4,223.55,13.3,95.4,0.03,0.0,0.02,0.0,3.03
23,12-1951,40.94,41.9,296.74,-16.9,80.9,32.53,33.1,316.6,-27.9,74.3,51.24,53.1,330.31,-11.0,95.4,0.03,0.0,0.01,0.0,2.17
24,1-1952,41.83,42.1,286.6,-22.3,77.3,33.54,33.4,304.36,-31.0,72.0,52.23,53.1,317.6,-13.0,88.3,0.02,0.0,0.01,0.0,2.13
25,2-1952,43.39,44.0,179.78,-3.2,77.3,34.88,34.3,189.31,-18.6,71.2,53.91,55.4,224.36,9.0,93.4,0.02,0.0,0.01,0.0,2.28
26,3-1952,46.38,46.6,185.16,-8.6,82.4,37.64,37.0,178.56,-20.9,73.0,57.22,58.3,237.29,6.1,104.4,0.03,0.0,0.02,0.0,2.13
27,4-1952,57.05,58.1,106.39,22.4,83.0,46.8,47.3,105.32,12.0,73.4,69.03,71.1,139.93,30.9,98.2,0.02,0.0,0.02,0.0,2.6
28,5-1952,65.8,66.7,98.72,36.4,91.6,55.18,55.4,98.17,27.0,88.3,77.85,80.1,127.34,41.0,105.3,0.03,0.0,0.02,0.0,3.07
29,6-1952,75.51,78.1,93.88,43.5,98.1,65.05,66.9,99.19,28.0,88.3,87.2,89.4,104.3,53.4,114.3,0.02,0.0,0.02,0.0,3.46
30,7-1952,78.31,79.6,52.06,49.7,101.0,67.65,70.0,66.85,37.9,91.2,90.38,91.2,58.28,57.0,115.3,0.03,0.0,0.03,0.0,5.87
31,8-1952,77.38,78.3,68.3,45.5,99.6,67.14,69.1,80.1,36.0,87.3,89.28,90.0,82.12,54.0,113.4,0.03,0.0,0.03,0.0,3.11
32,9-1952,70.91,72.2,78.59,42.1,99.4,59.9,60.3,95.24,28.0,87.3,83.44,84.9,93.11,50.0,113.4,0.02,0.0,0.02,0.0,4.33
33,10-1952,58.34,58.7,114.49,22.9,88.2,46.36,46.0,122.65,12.4,84.9,72.44,73.9,148.11,30.4,104.4,0.01,0.0,0.01,0.0,6.38
34,11-1952,48.0,48.1,173.06,1.4,80.3,39.12,39.0,177.49,-12.6,75.0,58.65,59.4,213.7,10.4,91.0,0.02,0.0,0.02,0.0,3.39
35,12-1952,41.21,41.4,135.23,-5.3,77.8,33.71,33.4,142.12,-16.1,69.3,50.52,51.1,171.19,6.4,86.4,0.02,0.0,0.02,0.0,3.15
36,1-1953,43.9,45.1,184.5,-10.3,74.7,35.14,35.4,183.34,-22.7,68.4,54.98,57.0,239.52,-0.9,90.3,0.03,0.0,0.02,0.0,1.81
37,2-1953,43.36,44.2,174.31,-15.1,76.8,34.26,35.1,184.47,-24.0,72.0,54.67,55.9,210.86,-2.6,90.3,0.02,0.0,0.01,0.0,2.24
38,3-1953,51.45,52.3,200.77,0.3,82.6,42.39,42.1,207.35,-16.6,74.3,62.63,64.9,233.34,12.4,98.2,0.03,0.0,0.02,0.0,2.2
39,4-1953,56.27,56.8,144.34,18.0,87.7,46.55,46.0,143.76,3.9,77.4,67.98,70.0,180.68,23.0,102.4,0.03,0.0,0.02,0.0,3.39
40,5-1953,66.28,66.2,145.01,23.0,96.4,56.26,55.4,153.18,16.3,90.3,77.79,79.0,156.91,30.4,107.1,0.03,0.0,0.02,0.0,2.05
41,6-1953,75.86,78.3,109.12,45.1,98.2,65.05,67.3,114.83,30.9,90.3,87.68,90.0,120.45,51.3,115.3,0.02,0.0,0.02,0.0,2.99
42,7-1953,78.11,79.0,55.75,54.4,102.0,67.93,69.4,71.55,38.3,92.3,89.74,90.3,63.81,64.0,115.3,0.03,0.0,0.03,0.0,3.54
43,8-1953,76.28,77.2,58.46,51.1,99.5,66.05,66.9,70.78,39.0,88.3,88.08,89.1,71.26,57.0,114.3,0.03,0.0,0.03,0.0,3.98
44,9-1953,71.5,73.1,84.12,40.3,94.5,59.77,60.3,99.04,27.0,85.3,84.55,86.0,105.05,50.4,109.2,0.02,0.0,0.03,0.0,5.39
45,10-1953,61.87,62.0,101.71,30.3,89.7,51.11,50.4,120.03,19.0,84.4,74.39,75.4,118.5,35.1,104.4,0.02,0.0,0.01,0.0,2.64
46,11-1953,50.33,50.9,110.58,10.3,78.8,41.09,40.3,118.99,1.4,74.3,61.83,64.0,149.01,21.4,92.3,0.02,0.0,0.02,0.0,2.91
47,12-1953,41.38,41.6,159.25,-16.2,76.5,32.9,33.1,182.62,-27.0,74.3,51.81,52.3,168.67,-0.9,91.2,0.03,0.0,0.02,0.0,3.07
48,1-1954,39.33,40.9,271.59,-26.7,76.8,30.49,32.0,283.36,-35.0,70.3,50.65,53.1,311.02,-17.0,90.3,0.02,0.0,0.01,0.0,2.17
49,2-1954,47.39,48.3,173.01,-11.8,79.7,37.32,37.4,168.86,-22.0,71.1,60.01,62.4,231.02,-3.6,96.3,0.02,0.0,0.02,0.0,5.08
50,3-1954,47.14,46.8,212.55,2.1,84.7,37.75,36.3,216.15,-14.6,77.0,59.0,59.0,253.69,8.1,104.4,0.02,0.0,0.01,0.0,1.61
51,4-1954,60.88,63.0,161.19,2.2,87.1,50.73,52.0,177.44,-5.1,81.3,73.2,77.0,173.7,12.0,103.3,0.03,0.0,0.02,0.0,3.86
52,5-1954,63.91,64.6,113.59,21.1,88.4,53.88,54.0,118.24,14.0,83.3,75.43,77.4,137.81,25.0,104.4,0.03,0.0,0.02,0.0,2.28
53,6-1954,74.67,77.2,96.1,39.8,100.1,64.23,66.0,100.07,25.3,89.2,86.33,89.1,111.33,50.4,114.3,0.02,0.0,0.02,0.0,3.46
54,7-1954,79.31,80.9,73.88,51.9,100.4,68.55,70.3,76.67,41.4,90.3,91.36,93.0,90.52,57.0,117.3,0.02,0.0,0.02,0.0,3.46
55,8-1954,77.04,78.5,81.16,52.7,99.1,67.06,68.4,86.54,37.0,98.2,88.81,90.3,95.5,59.0,111.2,0.03,0.0,0.03,0.0,3.03
56,9-1954,72.53,74.5,101.89,33.9,95.2,62.01,63.0,107.71,28.0,91.9,84.68,87.3,125.0,37.0,109.2,0.02,0.0,0.03,0.0,8.03
57,10-1954,61.57,61.7,156.04,24.1,89.5,51.98,51.1,176.57,17.1,83.3,73.27,75.0,173.22,28.4,104.4,0.02,0.0,0.02,0.0,4.29
58,11-1954,50.12,50.7,102.48,11.4,76.2,40.77,39.9,106.15,5.0,72.3,61.52,63.0,147.34,19.9,91.9,0.02,0.0,0.01,0.0,1.97
59,12-1954,41.63,41.2,164.89,2.2,75.5,33.08,32.4,163.6,-11.0,70.3,52.31,53.1,218.65,9.0,91.0,0.02,0.0,0.01,0.0,2.13
60,1-1955,38.37,38.9,200.03,-15.9,74.6,30.66,30.9,212.22,-26.0,71.2,47.86,48.4,229.89,-3.6,84.4,0.02,0.0,0.01,0.0,1.42
61,2-1955,40.93,41.0,247.7,-23.5,78.0,32.02,32.4,268.41,-41.1,70.0,52.06,53.4,268.98,-7.6,90.3,0.02,0.0,0.02,0.0,2.6
62,3-1955,49.26,49.7,256.02,-8.2,81.8,39.52,38.3,262.59,-20.6,76.3,61.48,64.0,293.21,-0.9,97.3,0.02,0.0,0.01,0.0,1.57
63,4-1955,59.98,60.2,138.45,20.7,87.5,49.87,49.3,148.12,8.4,78.3,71.83,73.4,158.12,26.4,101.3,0.02,0.0,0.02,0.0,4.49
64,5-1955,67.61,69.2,103.58,34.5,92.1,57.34,57.9,119.01,23.0,86.4,79.36,81.3,109.69,37.9,104.4,0.02,0.0,0.02,0.0,3.58
65,6-1955,71.95,73.1,79.11,42.2,106.7,61.66,62.1,77.32,30.9,98.2,83.45,84.9,97.31,48.4,114.3,0.02,0.0,0.02,0.0,3.58
66,7-1955,78.27,79.6,50.91,47.8,97.2,68.65,71.1,63.26,35.4,88.3,89.51,90.3,55.58,55.9,112.3,0.03,0.0,0.03,0.0,2.99
67,8-1955,77.89,79.5,47.2,49.9,92.8,68.09,70.3,63.99,37.9,85.3,89.27,90.3,55.65,55.0,108.3,0.03,0.0,0.06,0.0,6.93
68,9-1955,71.68,74.2,95.64,35.0,95.5,61.79,63.3,115.23,27.0,85.3,83.11,85.3,112.92,39.0,113.4,0.02,0.0,0.02,0.0,4.8
69,10-1955,60.96,61.0,104.19,27.6,87.2,50.54,49.3,125.83,12.9,82.4,73.36,74.3,121.75,35.1,105.1,0.03,0.0,0.04,0.0,4.53
70,11-1955,47.53,47.9,213.72,-14.9,82.3,38.42,37.9,215.93,-18.9,77.4,58.87,60.3,256.93,-8.0,91.2,0.02,0.0,0.02,0.0,2.24
71,12-1955,40.01,40.5,230.96,-20.4,76.5,31.89,32.0,235.1,-29.9,72.3,50.35,51.3,278.81,-8.0,91.2,0.02,0.0,0.01,0.0,1.93
72,1-1956,38.76,39.3,183.9,-15.0,78.1,30.72,30.9,183.4,-23.6,70.0,48.89,49.3,241.88,-8.0,89.2,0.02,0.0,0.01,0.0,2.09
73,2-1956,42.07,41.9,258.05,-16.8,80.0,33.73,33.4,270.04,-26.0,72.3,52.5,53.4,293.03,-6.0,95.4,0.02,0.0,0.01,0.0,3.27
74,3-1956,48.23,49.4,218.92,-7.3,82.7,38.07,37.9,214.99,-17.0,74.3,60.67,63.3,276.73,0.0,99.3,0.02,0.0,0.02,0.0,2.95
75,4-1956,56.1,56.3,148.24,22.2,85.3,46.12,45.0,153.36,12.0,80.1,68.04,70.0,173.75,27.0,99.3,0.02,0.0,0.01,0.0,2.13
76,5-1956,67.15,69.5,132.67,30.6,93.6,56.94,57.9,139.5,21.9,88.0,78.96,82.4,146.4,36.0,108.0,0.03,0.0,0.02,0.0,2.52
77,6-1956,74.78,76.9,84.14,41.5,97.3,64.39,66.4,86.62,32.4,84.9,86.4,88.3,101.67,45.0,114.1,0.02,0.0,0.02,0.0,2.6
78,7-1956,77.15,78.5,62.54,52.4,98.2,67.33,69.1,64.36,39.9,87.1,88.51,90.0,79.48,57.4,117.0,0.03,0.0,0.04,0.0,4.33
79,8-1956,76.71,77.65,73.84,48.7,96.5,66.39,67.3,78.45,34.0,87.3,88.58,90.0,87.25,55.9,111.4,0.02,0.0,0.02,0.0,2.64
80,9-1956,70.37,72.2,104.52,36.5,92.0,59.31,60.1,110.62,25.0,84.9,82.83,85.3,130.79,45.0,109.0,0.02,0.0,0.03,0.0,8.39
81,10-1956,62.32,63.0,102.48,24.9,87.9,52.47,53.1,120.71,15.1,81.0,73.92,75.4,118.76,36.0,103.3,0.02,0.0,0.02,0.0,3.19
82,11-1956,47.97,48.3,169.01,2.0,80.6,38.62,37.9,177.53,-9.6,75.0,59.75,61.3,203.24,10.4,96.1,0.01,0.0,0.01,0.0,4.21
83,12-1956,44.34,44.4,204.44,-14.7,76.7,35.75,35.1,216.4,-19.7,74.3,55.24,56.3,245.91,-11.0,86.0,0.02,0.0,0.01,0.0,2.6
84,1-1957,36.93,37.1,345.61,-26.3,78.0,29.17,30.0,373.67,-36.0,73.4,46.85,46.9,370.27,-14.6,91.2,0.02,0.0,0.01,0.0,2.99
85,2-1957,46.08,46.4,233.36,-11.2,77.9,38.29,37.9,251.38,-20.0,74.3,56.15,57.0,260.6,-5.1,93.4,0.02,0.0,0.01,0.0,2.05
86,3-1957,48.14,48.3,151.1,0.6,79.8,39.76,39.4,154.06,-11.6,75.4,58.73,60.1,183.59,12.0,92.3,0.03,0.0,0.02,0.0,2.01
87,4-1957,57.37,59.0,165.45,16.8,83.8,48.5,48.9,171.66,1.9,79.0,68.46,71.1,183.55,25.0,99.3,0.03,0.0,0.02,0.0,2.28
88,5-1957,65.39,66.1,100.93,31.6,88.8,56.42,55.9,116.31,22.5,81.0,76.17,78.1,109.48,36.0,102.4,0.04,0.0,0.03,0.0,2.76
89,6-1957,74.05,75.5,75.16,44.2,101.2,64.68,66.0,85.98,31.3,88.0,85.15,86.4,83.95,49.3,117.0,0.04,0.0,0.04,0.0,3.43
90,7-1957,78.28,79.3,58.53,53.6,100.4,68.05,70.0,65.94,40.3,88.3,89.82,90.3,68.18,61.3,115.0,0.03,0.0,0.03,0.0,4.65
91,8-1957,76.07,77.4,65.75,50.5,96.7,66.05,66.9,78.52,34.0,86.0,87.63,89.1,74.88,57.4,114.1,0.02,0.0,0.03,0.0,3.9
92,9-1957,69.76,70.0,85.91,33.4,94.7,60.22,61.0,113.77,23.4,89.1,81.23,81.3,93.49,46.0,108.0,0.03,0.0,0.03,0.0,3.74
93,10-1957,57.8,58.2,110.03,14.7,84.3,49.41,50.0,124.63,12.0,80.1,68.04,68.4,121.31,23.0,100.2,0.02,0.0,0.02,0.0,3.15
94,11-1957,48.61,48.4,150.4,5.1,79.0,41.06,40.3,166.16,-9.9,76.3,58.24,58.3,162.65,18.3,89.2,0.03,0.0,0.02,0.0,2.28
95,12-1957,44.13,44.35,146.19,-8.2,75.5,35.71,35.1,163.13,-15.7,71.2,54.84,56.3,168.53,0.0,84.4,0.03,0.0,0.02,0.0,2.52
96,1-1958,38.17,38.7,144.08,-7.3,74.2,30.48,31.3,152.84,-15.7,69.3,48.04,48.9,173.26,3.0,82.4,0.03,0.0,0.02,0.0,2.64
97,2-1958,37.93,39.2,256.11,-13.2,76.4,30.13,31.3,260.86,-23.6,70.3,47.93,49.3,297.91,-2.0,87.3,0.03,0.0,0.02,0.0,3.5
98,3-1958,45.07,44.2,121.07,7.0,77.4,37.99,37.0,119.21,-7.1,71.2,54.32,54.3,153.86,15.1,90.3,0.03,0.0,0.02,0.0,2.28
99,4-1958,57.08,57.6,123.04,20.6,86.8,47.76,47.3,128.57,10.4,79.0,68.48,69.4,148.78,30.0,109.2,0.03,0.0,0.03,0.0,4.09
100,5-1958,66.79,68.1,98.25,31.8,95.6,56.65,57.4,108.18,17.4,82.0,78.32,80.1,114.09,41.4,111.0,0.02,0.0,0.02,0.0,2.36
101,6-1958,72.89,74.1,91.28,41.7,98.1,63.14,64.0,101.96,29.3,86.4,84.14,86.0,102.27,48.4,111.9,0.03,0.0,0.04,0.0,4.21
102,7-1958,76.97,78.0,55.83,50.5,101.6,67.69,69.1,62.97,37.9,89.1,87.94,89.1,67.75,57.4,118.0,0.04,0.0,0.03,0.0,3.82
103,8-1958,76.76,78.0,53.39,49.6,96.0,66.9,68.0,62.98,36.3,87.3,88.21,89.1,66.85,55.9,109.9,0.03,0.0,0.04,0.0,4.69
104,9-1958,70.48,71.9,86.06,37.2,95.8,61.43,62.4,109.75,20.3,87.3,81.5,82.9,93.73,47.3,108.3,0.03,0.0,0.03,0.0,3.58
105,10-1958,59.85,60.7,104.79,28.6,85.0,50.57,51.1,116.8,18.0,80.2,71.32,73.0,133.96,35.1,105.1,0.02,0.0,0.02,0.0,4.76
106,11-1958,50.82,51.7,174.14,-9.0,80.4,41.83,42.1,190.21,-16.6,77.0,62.17,64.4,197.45,1.9,89.1,0.03,0.0,0.02,0.0,2.36
107,12-1958,38.28,39.9,234.41,-16.4,82.0,29.61,30.4,241.01,-32.1,76.3,49.56,51.4,290.46,-4.0,93.4,0.02,0.0,0.01,0.0,2.2
108,1-1959,37.08,38.2,260.38,-15.2,75.5,28.42,29.3,271.22,-25.1,71.2,48.58,50.4,296.29,-8.0,84.9,0.03,0.0,0.02,0.0,2.01
109,2-1959,40.81,41.9,260.12,-12.6,77.7,32.59,34.0,293.82,-31.0,74.3,51.58,53.1,275.16,-6.0,93.4,0.03,0.0,0.02,0.0,1.89
110,3-1959,47.9,49.0,162.03,-2.2,78.6,37.98,37.9,166.46,-29.9,73.4,60.24,62.4,205.32,18.3,91.9,0.03,0.0,0.03,0.0,4.49
111,4-1959,57.65,58.7,132.77,11.2,84.1,47.73,47.3,136.64,-2.0,77.0,69.79,72.0,165.0,23.0,100.0,0.02,0.0,0.02,0.0,1.93
112,5-1959,67.24,70.0,105.51,33.6,87.7,57.59,59.4,121.61,24.1,80.1,78.74,81.3,110.7,39.9,104.4,0.03,0.0,0.03,0.0,3.98
113,6-1959,73.99,75.6,77.41,42.5,101.3,64.13,65.3,82.13,33.1,89.2,85.2,86.9,94.76,44.4,114.1,0.03,0.0,0.02,0.0,3.23
114,7-1959,76.95,77.6,41.14,54.1,100.4,67.27,69.1,54.3,39.0,90.0,88.3,88.3,52.52,59.0,115.0,0.04,0.0,0.04,0.0,4.45
115,8-1959,77.02,78.6,48.41,51.1,95.0,67.73,70.0,59.45,35.1,84.9,88.23,89.4,57.21,57.4,109.0,0.03,0.0,0.03,0.0,4.09
116,9-1959,70.64,73.0,99.59,29.5,95.8,61.34,63.3,117.52,23.0,84.4,81.89,84.4,110.85,35.1,108.0,0.03,0.0,0.03,0.0,3.86
117,10-1959,60.03,60.4,143.37,23.6,88.4,51.52,51.1,160.67,12.9,82.0,70.86,72.0,166.59,28.9,101.3,0.04,0.0,0.04,0.0,4.17
118,11-1959,46.19,46.7,200.75,-8.9,82.2,36.85,36.0,212.49,-17.0,78.3,58.31,60.3,226.81,3.0,92.3,0.03,0.0,0.02,0.0,3.43
119,12-1959,42.59,42.7,134.61,-1.2,75.7,34.87,34.3,140.41,-7.6,72.3,52.33,53.4,168.86,5.4,88.3,0.03,0.0,0.03,0.0,3.19
120,1-1960,37.63,37.4,217.34,-14.4,76.4,30.48,30.4,229.49,-24.7,71.2,46.97,46.4,246.1,-6.0,88.3,0.03,0.0,0.02,0.0,4.76
121,2-1960,38.67,39.0,185.05,-8.7,77.6,30.82,30.9,185.96,-20.0,73.4,48.77,49.3,227.09,1.9,97.3,0.04,0.0,0.03,0.0,2.72
122,3-1960,41.77,42.4,267.91,-10.9,78.0,33.08,33.4,255.92,-18.9,73.4,52.73,53.4,347.91,-6.0,96.3,0.03,0.0,0.03,0.0,5.63
123,4-1960,58.72,60.4,139.57,20.3,83.9,48.55,48.4,142.12,3.0,76.3,70.92,73.4,167.19,26.1,101.3,0.03,0.0,0.02,0.0,2.76
124,5-1960,64.72,64.8,101.21,31.5,90.4,54.34,54.3,105.24,19.9,80.1,76.51,77.4,124.52,33.1,109.9,0.03,0.0,0.02,0.0,3.27
125,6-1960,73.51,74.4,77.22,47.6,98.2,63.09,64.0,84.0,33.1,89.1,85.13,86.0,95.72,55.4,118.0,0.03,0.0,0.03,0.0,4.06
126,7-1960,76.57,77.1,55.36,52.2,99.0,66.47,67.3,65.81,39.0,88.0,87.96,88.3,72.58,57.0,115.3,0.04,0.0,0.07,0.0,7.28
127,8-1960,75.66,77.2,57.43,44.7,98.2,66.16,68.0,73.76,30.0,89.1,86.9,88.0,68.22,58.3,111.9,0.03,0.0,0.02,0.0,2.8
128,9-1960,70.73,71.9,82.64,39.7,92.9,60.99,62.1,95.37,28.9,87.1,82.24,84.0,98.26,46.0,108.0,0.03,0.0,0.05,0.0,4.33
129,10-1960,60.53,61.1,119.24,19.8,84.9,51.02,50.9,140.8,8.1,79.3,71.92,73.4,132.64,30.9,99.0,0.03,0.0,0.02,0.0,3.46
130,11-1960,50.09,50.0,133.1,-3.0,78.5,41.17,40.3,151.72,-13.9,75.4,61.19,62.1,150.24,3.9,91.2,0.02,0.0,0.02,0.0,3.15
131,12-1960,36.72,36.6,190.66,-18.5,75.4,28.55,28.9,204.35,-27.9,72.3,46.89,46.4,227.25,-2.9,82.9,0.02,0.0,0.02,0.0,3.5
132,1-1961,35.19,36.9,227.52,-22.6,73.3,26.46,28.0,246.36,-27.9,70.3,46.36,48.9,264.84,-16.1,87.3,0.02,0.0,0.01,0.0,2.99
133,2-1961,43.08,43.5,218.67,-19.3,77.9,34.44,35.1,230.63,-31.0,75.4,54.22,55.4,259.23,-6.0,87.3,0.03,0.0,0.03,0.0,2.13
134,3-1961,49.48,49.8,176.97,6.6,79.5,40.72,39.9,176.05,-11.0,75.4,60.57,62.1,219.35,12.9,95.4,0.04,0.0,0.03,0.0,2.6
135,4-1961,54.56,54.4,149.45,19.8,86.4,44.66,43.3,142.69,10.0,79.3,66.38,66.9,192.53,28.9,99.3,0.03,0.0,0.02,0.0,3.98
136,5-1961,63.78,64.0,110.05,31.4,87.2,53.64,53.4,119.22,19.9,79.0,75.39,77.0,127.07,39.0,102.4,0.03,0.0,0.02,0.0,2.72
137,6-1961,72.54,73.3,69.18,48.6,106.1,62.29,63.0,75.66,30.0,102.4,83.93,84.9,87.73,53.1,115.3,0.03,0.0,0.03,0.0,3.9
138,7-1961,76.22,77.3,50.48,51.9,99.8,66.49,68.0,58.11,35.1,95.4,87.25,88.0,62.97,61.0,115.3,0.03,0.0,0.03,0.0,2.76
139,8-1961,75.39,76.3,42.7,52.7,96.2,65.84,66.9,54.46,34.3,90.0,86.48,87.1,55.31,60.3,113.0,0.03,0.0,0.03,0.0,4.29
140,9-1961,69.68,71.7,104.01,33.2,90.3,60.18,62.1,132.53,23.0,85.3,81.14,84.0,99.52,41.0,103.3,0.03,0.0,0.04,0.0,4.72
141,10-1961,59.66,60.4,106.27,20.8,88.6,49.25,48.9,119.11,12.4,80.2,72.1,74.3,127.5,25.0,109.9,0.02,0.0,0.02,0.0,3.54
142,11-1961,48.04,47.4,164.45,5.9,82.3,39.94,38.3,173.34,0.0,78.1,58.09,58.3,188.14,19.0,90.3,0.03,0.0,0.02,0.0,2.8
143,12-1961,39.31,39.5,232.58,-16.0,79.0,31.59,32.0,247.02,-27.0,75.4,48.6,48.9,265.99,-6.0,88.3,0.03,0.0,0.02,0.0,2.2
144,1-1962,34.71,36.4,287.85,-23.2,78.2,26.05,28.0,294.48,-32.6,75.4,45.68,46.9,325.23,-11.9,88.3,0.03,0.0,0.02,0.0,4.02
145,2-1962,42.06,43.9,331.0,-23.5,78.8,33.44,35.1,335.96,-33.0,75.4,52.91,55.4,393.61,-11.9,96.3,0.03,0.0,0.03,0.0,4.21
146,3-1962,45.07,45.4,189.12,-20.5,78.2,36.1,36.0,186.71,-34.1,73.4,56.02,57.0,230.58,-4.9,92.3,0.02,0.0,0.02,0.0,4.61
147,4-1962,56.8,57.7,144.2,20.1,85.2,46.33,46.4,145.52,2.3,79.3,69.01,70.3,184.0,27.0,100.9,0.02,0.0,0.01,0.0,2.24
148,5-1962,67.61,70.0,121.14,33.1,94.4,56.92,57.9,119.59,23.0,89.2,79.29,82.9,140.87,39.0,102.4,0.02,0.0,0.02,0.0,3.15
149,6-1962,72.0,73.7,69.6,42.0,95.9,61.91,63.0,82.69,26.1,87.3,83.2,84.4,80.23,50.4,109.9,0.04,0.0,0.04,0.0,4.13
150,7-1962,75.41,76.6,67.33,50.8,100.3,65.27,66.4,81.04,33.1,95.4,86.81,88.0,78.76,55.4,108.3,0.03,0.0,0.03,0.0,2.83
151,8-1962,75.84,76.9,69.7,49.8,98.7,65.08,66.0,78.05,32.0,92.3,87.77,88.9,86.45,57.4,111.0,0.03,0.0,0.04,0.0,4.61
152,9-1962,68.44,68.5,99.3,37.9,100.5,58.92,59.0,125.89,23.0,96.3,79.63,81.0,111.9,46.0,106.3,0.03,0.0,0.03,0.0,6.02
153,10-1962,61.0,61.1,133.27,24.7,87.9,51.58,51.3,152.99,14.4,86.4,72.3,73.0,147.43,30.4,97.3,0.03,0.0,0.03,0.0,5.79
154,11-1962,48.24,48.4,106.26,16.0,81.8,39.76,39.4,113.24,3.9,77.4,58.56,59.0,142.73,24.1,91.2,0.03,0.0,0.03,0.0,4.09
155,12-1962,38.62,40.0,215.46,-10.5,75.0,30.38,30.9,236.0,-24.7,72.3,49.1,51.1,247.01,-3.6,84.4,0.02,0.0,0.02,0.0,3.11
